Timestamp,Source IP,Destination IP,Protocol,Length
1740062268.1152208,192.168.1.187,140.82.112.21,TCP,54
1740062268.170513,192.168.0.111,239.255.255.250,UDP,212
1740062269.1970396,192.168.1.233,224.0.0.251,UDP,291
1740062269.2966175,192.168.0.111,239.255.255.250,UDP,212
1740062269.4822178,192.168.1.187,140.82.112.21,TCP,54
1740062270.1159406,192.168.0.111,239.255.255.250,UDP,212
1740062271.1401198,192.168.0.111,239.255.255.250,UDP,212
1740062271.6610477,192.168.1.187,20.195.84.23,TCP,85
1740062271.756828,20.195.84.23,192.168.1.187,TCP,54
1740062272.2222106,192.168.1.187,140.82.112.21,TCP,54
1740062272.369165,192.168.1.198,224.0.0.251,UDP,103
1740062274.2156343,20.195.84.23,192.168.1.187,TCP,81
1740062274.2602656,192.168.1.187,20.195.84.23,TCP,54
1740062275.0309305,192.168.1.198,224.0.0.22,Other,54
1740062275.0349753,192.168.1.1,224.0.0.251,Other,50
1740062275.0694983,192.168.1.187,224.0.0.22,Other,54
1740062275.3381217,192.168.1.198,224.0.0.22,Other,54
1740062275.3411868,192.168.1.175,224.0.0.22,Other,54
1740062275.4411635,192.168.1.198,224.0.0.22,Other,54
1740062275.4447525,192.168.1.225,224.0.0.22,Other,54
1740062275.4480882,192.168.1.198,224.0.0.251,UDP,103
1740062275.452949,192.168.1.159,224.0.0.22,Other,54
1740062275.544412,192.168.1.198,224.0.0.22,Other,54
1740062276.3620996,192.168.1.198,224.0.0.251,UDP,103
1740062276.566651,192.168.1.1,224.0.0.251,Other,50
1740062276.8743002,192.168.1.175,224.0.0.22,Other,54
1740062276.9784932,192.168.1.225,224.0.0.22,Other,54
1740062277.0602076,192.168.1.187,224.0.0.22,Other,54
1740062277.0791287,192.168.1.159,224.0.0.22,Other,54
1740062277.386173,192.168.1.198,224.0.0.22,Other,54
1740062277.3900857,192.168.1.198,224.0.0.251,UDP,103
1740062277.6869082,192.168.1.187,140.82.112.21,TCP,54
1740062277.8470852,192.168.1.187,142.251.12.188,TCP,55
1740062278.002213,142.251.12.188,192.168.1.187,TCP,66
1740062278.308627,192.168.1.198,224.0.0.251,UDP,103
1740062279.3329585,192.168.1.198,224.0.0.251,UDP,103
1740062280.3569477,192.168.1.198,224.0.0.251,UDP,103
1740062281.177071,192.168.1.1,239.255.255.250,UDP,312
1740062281.181075,192.168.1.1,239.255.255.250,UDP,324
1740062281.1848426,192.168.1.1,239.255.255.250,UDP,384
1740062281.191665,192.168.1.1,239.255.255.250,UDP,300
1740062281.196134,192.168.1.1,239.255.255.250,UDP,348
1740062281.2027304,192.168.1.1,239.255.255.250,UDP,320
1740062281.2073944,192.168.1.1,239.255.255.250,UDP,378
1740062281.212994,192.168.1.1,239.255.255.250,UDP,376
1740062281.2180934,192.168.1.1,239.255.255.250,UDP,380
1740062281.2779963,192.168.1.1,239.255.255.250,UDP,372
1740062282.5794957,192.168.1.187,20.195.84.23,TCP,82
1740062282.7125435,20.195.84.23,192.168.1.187,TCP,54
1740062284.0439754,157.240.7.53,192.168.1.187,TCP,106
1740062284.0900505,192.168.1.187,157.240.7.53,TCP,54
1740062286.66195,192.168.1.187,20.195.84.23,TCP,85
1740062286.8075917,20.195.84.23,192.168.1.187,TCP,54
1740062287.2175784,192.168.1.1,192.168.1.255,UDP,369
1740062287.4208963,192.168.1.187,140.82.112.21,TCP,66
1740062287.6833675,192.168.1.187,140.82.112.21,TCP,66
1740062287.7049508,140.82.112.21,192.168.1.187,TCP,66
1740062287.7094102,192.168.1.187,140.82.112.21,TCP,54
1740062287.7131732,192.168.1.187,140.82.112.21,TCP,1490
1740062287.7176018,192.168.1.187,140.82.112.21,TCP,491
1740062288.0365095,192.168.0.107,239.255.255.250,UDP,179
1740062288.0492125,140.82.112.21,192.168.1.187,TCP,54
1740062288.05381,140.82.112.21,192.168.1.187,TCP,1490
1740062288.0595417,140.82.112.21,192.168.1.187,TCP,1490
1740062288.0634053,140.82.112.21,192.168.1.187,TCP,1244
1740062288.0672598,140.82.112.21,192.168.1.187,TCP,66
1740062288.0714948,192.168.1.187,140.82.112.21,TCP,54
1740062288.076332,192.168.1.187,140.82.112.21,TCP,54
1740062288.080805,192.168.1.187,140.82.112.21,TCP,118
1740062288.085528,192.168.1.187,140.82.112.21,TCP,1490
1740062288.0900393,192.168.1.187,140.82.112.21,TCP,427
1740062288.0942864,192.168.1.187,140.82.112.21,TCP,146
1740062288.0988102,192.168.1.187,140.82.112.21,TCP,600
1740062288.1033998,192.168.1.187,140.82.112.21,TCP,1490
1740062288.10798,192.168.1.187,140.82.112.21,TCP,1307
1740062288.4504275,140.82.112.21,192.168.1.187,TCP,133
1740062288.454443,140.82.112.21,192.168.1.187,TCP,133
1740062288.4599233,140.82.112.21,192.168.1.187,TCP,118
1740062288.4663498,140.82.112.21,192.168.1.187,TCP,54
1740062288.4715197,140.82.112.21,192.168.1.187,TCP,54
1740062288.4758458,140.82.112.21,192.168.1.187,TCP,54
1740062288.4800024,192.168.1.187,140.82.112.21,TCP,54
1740062288.4856791,140.82.112.21,192.168.1.187,TCP,102
1740062288.4896786,140.82.112.21,192.168.1.187,TCP,532
1740062288.4938345,140.82.112.21,192.168.1.187,TCP,54
1740062288.4969256,140.82.112.21,192.168.1.187,TCP,1490
1740062288.5046113,140.82.112.21,192.168.1.187,TCP,1490
1740062288.5083933,140.82.112.21,192.168.1.187,TCP,1244
1740062288.5127237,192.168.1.187,140.82.112.21,TCP,54
1740062288.5164835,192.168.1.187,140.82.112.21,TCP,54
1740062288.5217006,192.168.1.187,140.82.112.21,TCP,85
1740062288.525014,192.168.1.187,140.82.112.21,TCP,118
1740062288.5295928,192.168.1.187,192.168.1.1,TCP,66
1740062288.534138,192.168.1.187,192.168.1.1,TCP,66
1740062288.539612,192.168.1.1,192.168.1.187,TCP,58
1740062288.5441215,192.168.1.187,192.168.1.1,TCP,54
1740062288.5478709,192.168.1.187,192.168.1.1,TCP,56
1740062288.55459,192.168.1.187,192.168.1.1,TCP,82
1740062288.5582907,192.168.1.1,192.168.1.187,TCP,58
1740062288.5623827,192.168.1.187,192.168.1.1,TCP,54
1740062288.566152,192.168.1.187,192.168.1.1,TCP,56
1740062288.5717807,192.168.1.187,192.168.1.1,TCP,82
1740062288.5756366,192.168.1.1,192.168.1.187,TCP,54
1740062288.5787218,192.168.1.1,192.168.1.187,TCP,54
1740062288.5879364,192.168.1.1,192.168.1.187,TCP,348
1740062288.5929935,192.168.1.187,192.168.1.1,TCP,54
1740062288.597226,192.168.1.1,192.168.1.187,TCP,54
1740062288.6024384,192.168.1.1,192.168.1.187,TCP,54
1740062288.6194105,192.168.1.1,192.168.1.187,TCP,357
1740062288.624257,192.168.1.187,192.168.1.1,TCP,54
1740062288.6291676,192.168.1.187,142.250.195.110,UDP,1292
1740062288.634472,192.168.1.187,142.250.195.110,UDP,1292
1740062288.6392822,192.168.1.187,142.250.195.110,UDP,1292
1740062288.6429458,192.168.1.187,142.250.195.110,UDP,124
1740062288.646663,192.168.1.1,192.168.1.187,TCP,54
1740062288.6516285,192.168.1.187,192.168.1.1,TCP,54
1740062288.6572468,192.168.1.1,192.168.1.187,TCP,54
1740062288.6614697,192.168.1.187,192.168.1.1,TCP,54
1740062288.6660562,142.250.195.110,192.168.1.187,UDP,82
1740062288.6724503,142.250.195.110,192.168.1.187,UDP,82
1740062288.677695,142.250.195.110,192.168.1.187,UDP,1292
1740062288.682017,142.250.195.110,192.168.1.187,UDP,1292
1740062288.687664,142.250.195.110,192.168.1.187,UDP,1292
1740062288.6924348,142.250.195.110,192.168.1.187,UDP,340
1740062288.6958563,142.250.195.110,192.168.1.187,UDP,976
1740062288.7007542,142.250.195.110,192.168.1.187,UDP,67
1740062288.707346,192.168.1.187,142.250.195.110,UDP,1292
1740062288.7120602,192.168.1.187,142.250.195.110,UDP,73
1740062288.7161927,192.168.1.187,142.250.195.110,UDP,872
1740062288.7211509,192.168.1.187,140.82.112.21,TCP,54
1740062288.7252133,142.250.195.110,192.168.1.187,UDP,162
1740062288.7283895,142.250.195.110,192.168.1.187,UDP,71
1740062288.7320004,142.250.195.110,192.168.1.187,UDP,606
1740062288.738346,142.250.195.110,192.168.1.187,UDP,63
1740062288.7418845,192.168.1.187,142.250.195.110,UDP,74
1740062288.7455783,192.168.1.187,142.250.195.110,UDP,77
1740062288.7548974,142.250.195.110,192.168.1.187,UDP,66
1740062288.7773476,140.82.112.21,192.168.1.187,TCP,54
1740062288.809167,140.82.112.21,192.168.1.187,TCP,133
1740062288.8149707,140.82.112.21,192.168.1.187,TCP,133
1740062288.821272,192.168.1.187,140.82.112.21,TCP,54
1740062288.8563392,192.168.1.187,20.207.73.85,TCP,66
1740062288.861822,192.168.1.187,140.82.112.21,TCP,126
1740062288.868403,192.168.1.187,140.82.112.21,TCP,1490
